Data;Índice de Variação de Aluguéis Residenciais (IVAR) - Média Nacional (1463201);Índice de Variação de Aluguéis Residenciais (IVAR) - São Paulo(1463202);Índice de Variação de Aluguéis Residenciais (IVAR) - Rio de Janeiro (1463203);Índice de Variação de Aluguéis Residenciais (IVAR) - Belo Horizonte(1463204);Índice de Variação de Aluguéis Residenciais (IVAR) - Porto Alegre(1463205);Sondagem da Construção – Nível de Utilização da Capacidade Instalada(1428409);ICST Com ajuste Sazonal - Índice de Confiança da Construção (CNAE 2.0)(1416232);IE-CST Com ajuste Sazonal - Índice de Expectativas da Construção (CNAE 2.0)(1416233);ISA-CST Com ajuste Sazonal - Índice da Situação Atual da Construção (CNAE 2.0)(1416234);INCC-Brasil-DI-Todos os itens(1464783);INCC-Brasil-M-Todos os itens(1465235);INCC-Brasil-10-Todos os itens(1464331);INCC-M - 1º Decêndio (%)(1000379);INCC-M - 2º Decêndio (%)(1000366);INCC-M - Fechamento mensal (%)(1000370)
09/1999; - ; - ; - ; - ; - ; - ; - ; - ; - ;176.785;176.824;175.454; - ; - ;0.83
10/1999; - ; - ; - ; - ; - ; - ; - ; - ; - ;178.574;178.217;177.007; - ; - ;0.79
11/1999; - ; - ; - ; - ; - ; - ; - ; - ; - ;180.207;180.382;179.031; - ; - ;1.22
12/1999; - ; - ; - ; - ; - ; - ; - ; - ; - ;182.084;181.839;180.640; - ; - ;0.81
01/2000; - ; - ; - ; - ; - ; - ; - ; - ; - ;184.039;183.929;182.675; - ; - ;1.15
02/2000; - ; - ; - ; - ; - ; - ; - ; - ; - ;185.461;185.572;184.474; - ; - ;0.89
03/2000; - ; - ; - ; - ; - ; - ; - ; - ; - ;186.492;187.092;185.928; - ; - ;0.82
04/2000; - ; - ; - ; - ; - ; - ; - ; - ; - ;187.604;188.389;187.272; - ; - ;0.69
05/2000; - ; - ; - ; - ; - ; - ; - ; - ; - ;190.136;189.463;188.173; - ; - ;0.57
06/2000; - ; - ; - ; - ; - ; - ; - ; - ; - ;191.527;191.521;190.429; - ; - ;1.09
07/2000; - ; - ; - ; - ; - ; - ; - ; - ; - ;192.104;193.104;191.991; - ; - ;0.83
08/2000; - ; - ; - ; - ; - ; - ; - ; - ; - ;192.846;193.786;192.581; - ; - ;0.35
09/2000; - ; - ; - ; - ; - ; - ; - ; - ; - ;193.342;194.365;193.168; - ; - ;0.30
10/2000; - ; - ; - ; - ; - ; - ; - ; - ; - ;193.984;194.914;193.650; - ; - ;0.28
11/2000; - ; - ; - ; - ; - ; - ; - ; - ; - ;194.789;195.488;194.308; - ; - ;0.29
12/2000; - ; - ; - ; - ; - ; - ; - ; - ; - ;196.037;196.450;195.181; - ; - ;0.49
01/2001; - ; - ; - ; - ; - ; - ; - ; - ; - ;197.174;197.233;195.831; - ; - ;0.40
02/2001; - ; - ; - ; - ; - ; - ; - ; - ; - ;197.849;198.325;197.072; - ; - ;0.55
03/2001; - ; - ; - ; - ; - ; - ; - ; - ; - ;198.388;198.996;197.671; - ; - ;0.34
04/2001; - ; - ; - ; - ; - ; - ; - ; - ; - ;199.112;199.545;198.189; - ; - ;0.28
05/2001; - ; - ; - ; - ; - ; - ; - ; - ; - ;203.321;203.530;200.840; - ; - ;2.00
06/2001; - ; - ; - ; - ; - ; - ; - ; - ; - ;205.682;204.931;203.251; - ; - ;0.69
07/2001; - ; - ; - ; - ; - ; - ; - ; - ; - ;206.742;207.117;205.534; - ; - ;1.07
08/2001; - ; - ; - ; - ; - ; - ; - ; - ; - ;208.026;208.272;206.590; - ; - ;0.56
09/2001; - ; - ; - ; - ; - ; - ; - ; - ; - ;209.174;209.510;207.819; - ; - ;0.59
10/2001; - ; - ; - ; - ; - ; - ; - ; - ; - ;211.122;211.431;209.652; - ; - ;0.92
11/2001; - ; - ; - ; - ; - ; - ; - ; - ; - ;212.676;212.700;210.988; - ; - ;0.60
12/2001; - ; - ; - ; - ; - ; - ; - ; - ; - ;213.393;214.194;212.521; - ; - ;0.70
01/2002; - ; - ; - ; - ; - ; - ; - ; - ; - ;214.162;215.058;213.199; - ; - ;0.40
02/2002; - ; - ; - ; - ; - ; - ; - ; - ; - ;215.399;215.734;213.935; - ; - ;0.31
03/2002; - ; - ; - ; - ; - ; - ; - ; - ; - ;216.577;217.554;215.083; - ; - ;0.84
04/2002; - ; - ; - ; - ; - ; - ; - ; - ; - ;217.288;218.259;216.151; - ; - ;0.32
05/2002; - ; - ; - ; - ; - ; - ; - ; - ; - ;222.793;223.644;221.525; - ; - ;2.47
06/2002; - ; - ; - ; - ; - ; - ; - ; - ; - ;224.054;224.117;222.334; - ; - ;0.21
07/2002; - ; - ; - ; - ; - ; - ; - ; - ; - ;224.712;225.529;223.662; - ; - ;0.63
08/2002; - ; - ; - ; - ; - ; - ; - ; - ; - ;226.968;227.376;224.460; - ; - ;0.82
09/2002; - ; - ; - ; - ; - ; - ; - ; - ; - ;228.576;228.913;226.830; - ; - ;0.68
10/2002; - ; - ; - ; - ; - ; - ; - ; - ; - ;231.167;230.787;228.456; - ; - ;0.82
11/2002; - ; - ; - ; - ; - ; - ; - ; - ; - ;236.830;235.843;231.572; - ; - ;2.19
12/2002; - ; - ; - ; - ; - ; - ; - ; - ; - ;240.861;240.868;237.942; - ; - ;2.13
01/2003; - ; - ; - ; - ; - ; - ; - ; - ; - ;244.489;244.354;241.131; - ; - ;1.45
02/2003; - ; - ; - ; - ; - ; - ; - ; - ; - ;247.898;248.262;244.522; - ; - ;1.60
03/2003; - ; - ; - ; - ; - ; - ; - ; - ; - ;251.318;251.695;248.129; - ; - ;1.38
04/2003; - ; - ; - ; - ; - ; - ; - ; - ; - ;253.585;253.744;251.369; - ; - ;0.81
05/2003; - ; - ; - ; - ; - ; - ; - ; - ; - ;260.778;261.311;253.310; - ; - ;2.98
06/2003; - ; - ; - ; - ; - ; - ; - ; - ; - ;263.516;263.244;261.414; - ; - ;0.74
07/2003; - ; - ; - ; - ; - ; - ; - ; - ; - ;266.132;264.785;262.836; - ; - ;0.59
08/2003; - ; - ; - ; - ; - ; - ; - ; - ; - ;269.967;270.623;268.760; - ; - ;2.20
09/2003; - ; - ; - ; - ; - ; - ; - ; - ; - ;270.555;271.284;269.101; - ; - ;0.24
10/2003; - ; - ; - ; - ; - ; - ; - ; - ; - ;272.325;272.552;270.541; - ; - ;0.47
11/2003; - ; - ; - ; - ; - ; - ; - ; - ; - ;275.152;273.706;271.766; - ; - ;0.42
12/2003; - ; - ; - ; - ; - ; - ; - ; - ; - ;275.594;276.424;274.372; - ; - ;0.99
01/2004; - ; - ; - ; - ; - ; - ; - ; - ; - ;276.490;277.201;274.903; - ; - ;0.28
02/2004; - ; - ; - ; - ; - ; - ; - ; - ; - ;279.243;278.521;275.881; - ; - ;0.48
03/2004; - ; - ; - ; - ; - ; - ; - ; - ; - ;282.470;282.956;279.156; - ; - ;1.59
04/2004; - ; - ; - ; - ; - ; - ; - ; - ; - ;284.128;284.665;282.016; - ; - ;0.60
05/2004; - ; - ; - ; - ; - ; - ; - ; - ; - ;289.317;289.627;283.979; - ; - ;1.74
06/2004; - ; - ; - ; - ; - ; - ; - ; - ; - ;291.348;291.239;288.790; - ; - ;0.56
07/2004; - ; - ; - ; - ; - ; - ; - ; - ; - ;294.625;294.509;291.959; - ; - ;1.12
08/2004; - ; - ; - ; - ; - ; - ; - ; - ; - ;297.003;297.162;294.278; - ; - ;0.90
09/2004; - ; - ; - ; - ; - ; - ; - ; - ; - ;298.722;299.140;296.469; - ; - ;0.67
10/2004; - ; - ; - ; - ; - ; - ; - ; - ; - ;302.275;301.975;298.893; - ; - ;0.95
11/2004; - ; - ; - ; - ; - ; - ; - ; - ; - ;304.429;304.810;301.907; - ; - ;0.94
12/2004; - ; - ; - ; - ; - ; - ; - ; - ; - ;305.974;306.655;304.092; - ; - ;0.61
01/2005; - ; - ; - ; - ; - ; - ; - ; - ; - ;308.284;308.802;306.210;0.27;0.65;0.70
02/2005; - ; - ; - ; - ; - ; - ; - ; - ; - ;309.646;310.105;307.662;0.41;0.50;0.42
03/2005; - ; - ; - ; - ; - ; - ; - ; - ; - ;311.733;312.300;309.839;0.32;0.70;0.71
04/2005; - ; - ; - ; - ; - ; - ; - ; - ; - ;313.977;313.497;311.022;0.36;0.39;0.38
05/2005; - ; - ; - ; - ; - ; - ; - ; - ; - ;320.524;315.200;313.003;0.57;0.56;0.54
06/2005; - ; - ; - ; - ; - ; - ; - ; - ; - ;322.974;322.150;319.919;2.10;2.20;2.20
07/2005; - ; - ; - ; - ; - ; - ; - ; - ; - ;323.332;324.236;321.966;0.58;0.65;0.65
08/2005; - ; - ; - ; - ; - ; - ; - ; - ; - ;323.382;324.394;322.260;-0.05;0.03;0.05
09/2005; - ; - ; - ; - ; - ; - ; - ; - ; - ;324.164;324.575;322.264;-0.04;0.00;0.06
10/2005; - ; - ; - ; - ; - ; - ; - ; - ; - ;324.782;325.485;323.164;0.22;0.31;0.28
11/2005; - ; - ; - ; - ; - ; - ; - ; - ; - ;325.703;326.416;324.074;0.17;0.32;0.29
12/2005; - ; - ; - ; - ; - ; - ; - ; - ; - ;326.915;327.645;325.353;0.21;0.40;0.38
01/2006; - ; - ; - ; - ; - ; - ; - ; - ; - ;328.042;328.427;325.859;0.13;0.19;0.24
02/2006; - ; - ; - ; - ; - ; - ; - ; - ; - ;328.651;329.360;326.993;0.35;0.34;0.28
03/2006; - ; - ; - ; - ; - ; - ; - ; - ; - ;329.320;330.108;327.512;0.11;0.19;0.23
04/2006; - ; - ; - ; - ; - ; - ; - ; - ; - ;330.501;330.787;328.171;0.14;0.16;0.21
05/2006; - ; - ; - ; - ; - ; - ; - ; - ; - ;334.867;333.459;329.795;0.45;0.53;0.81
06/2006; - ; - ; - ; - ; - ; - ; - ; - ; - ;337.892;338.302;335.551;1.80;1.81;1.45
07/2006; - ; - ; - ; - ; - ; - ; - ; - ; - ;339.484;340.232;337.306;0.59;0.59;0.57
08/2006; - ; - ; - ; - ; - ; - ; - ; - ; - ;340.283;341.438;338.682;0.51;0.40;0.35
09/2006; - ; - ; - ; - ; - ; - ; - ; - ; - ;340.670;341.731;339.211;0.06;0.07;0.09
10/2006; - ; - ; - ; - ; - ; - ; - ; - ; - ;341.369;342.352;339.683;0.15;0.15;0.18
11/2006; - ; - ; - ; - ; - ; - ; - ; - ; - ;342.159;343.137;340.453;0.19;0.21;0.23
12/2006; - ; - ; - ; - ; - ; - ; - ; - ; - ;343.401;344.171;341.292;0.26;0.24;0.30
01/2007; - ; - ; - ; - ; - ; - ; - ; - ; - ;344.943;345.713;342.633;0.37;0.38;0.45
02/2007; - ; - ; - ; - ; - ; - ; - ; - ; - ;345.682;346.629;343.975;0.34;0.28;0.26
03/2007; - ; - ; - ; - ; - ; - ; - ; - ; - ;346.617;347.227;344.693;0.25;0.21;0.17
04/2007; - ; - ; - ; - ; - ; - ; - ; - ; - ;348.194;348.729;345.898;0.43;0.48;0.43
05/2007; - ; - ; - ; - ; - ; - ; - ; - ; - ;352.204;350.631;347.405;0.54;0.47;0.55
06/2007; - ; - ; - ; - ; - ; - ; - ; - ; - ;355.456;356.503;352.642;1.79;1.71;1.67
07/2007; - ; - ; - ; - ; - ; - ; - ; - ; - ;356.545;357.269;354.604;0.09;0.25;0.21
08/2007; - ; - ; - ; - ; - ; - ; - ; - ; - ;357.467;358.534;355.645;0.42;0.37;0.35
09/2007; - ; - ; - ; - ; - ; - ; - ; - ; - ;359.276;359.916;356.777;0.13;0.32;0.39
10/2007; - ; - ; - ; - ; - ; - ; - ; - ; - ;361.102;361.672;358.520;0.41;0.48;0.49
11/2007; - ; - ; - ; - ; - ; - ; - ; - ; - ;362.403;363.397;360.374;0.59;0.53;0.48
12/2007; - ; - ; - ; - ; - ; - ; - ; - ; - ;364.525;364.972;361.580;0.17;0.30;0.43
01/2008; - ; - ; - ; - ; - ; - ; - ; - ; - ;365.906;366.471;363.551;0.52;0.44;0.41
02/2008; - ; - ; - ; - ; - ; - ; - ; - ; - ;367.382;368.062;365.133;0.52;0.47;0.43
03/2008; - ; - ; - ; - ; - ; - ; - ; - ; - ;369.812;370.251;366.928;0.34;0.52;0.59
04/2008; - ; - ; - ; - ; - ; - ; - ; - ; - ;373.031;373.302;369.623;0.59;0.75;0.82
05/2008; - ; - ; - ; - ; - ; - ; - ; - ; - ;380.582;377.419;372.773;0.79;0.82;1.10
06/2008; - ; - ; - ; - ; - ; - ; - ; - ; - ;387.906;387.512;382.694;2.72;2.84;2.67
07/2008; - ; - ; - ; - ; - ; - ; - ; - ; - ;393.556;393.018;388.442;1.38;1.34;1.42
08/2008; - ; - ; - ; - ; - ; - ; - ; - ; - ;398.202;398.015;393.991;1.40;1.32;1.27
09/2008; - ; - ; - ; - ; - ; - ; - ; - ; - ;401.975;401.797;397.713;1.17;0.91;0.95
10/2008; - ; - ; - ; - ; - ; - ; - ; - ; - ;405.090;405.212;401.693;0.97;0.89;0.85
11/2008; - ; - ; - ; - ; - ; - ; - ; - ; - ;407.109;407.860;404.657;0.70;0.71;0.65
12/2008; - ; - ; - ; - ; - ; - ; - ; - ; - ;407.807;408.765;405.993;0.27;0.25;0.22
01/2009; - ; - ; - ; - ; - ; - ; - ; - ; - ;409.166;409.811;406.663;0.13;0.15;0.26
02/2009; - ; - ; - ; - ; - ; - ; - ; - ; - ;410.262;411.249;408.428;0.43;0.43;0.35
03/2009; - ; - ; - ; - ; - ; - ; - ; - ; - ;409.216;410.569;408.465;0.16;-0.04;-0.17
04/2009; - ; - ; - ; - ; - ; - ; - ; - ; - ;409.042;410.531;407.366;-0.08;-0.24;-0.01
05/2009; - ; - ; - ; - ; - ; - ; - ; - ; - ;414.742;411.570;407.843;-0.36;-0.10;0.25
06/2009; - ; - ; - ; - ; - ; - ; - ; - ; - ;417.657;417.860;414.595;1.76;1.72;1.53
07/2009; - ; - ; - ; - ; - ; - ; - ; - ; - ;418.757;419.422;416.584;0.49;0.33;0.37
08/2009; - ; - ; - ; - ; - ; - ; - ; - ; - ;418.528;419.468;417.501;0.30;0.20;0.01
09/2009; - ; - ; - ; - ; - ; - ; - ; - ; - ;419.147;419.758;417.023;0.00;-0.04;0.07
10/2009; - ; - ; - ; - ; - ; - ; - ; - ; - ;419.405;420.298;417.864;0.19;0.13;0.13
11/2009; - ; - ; - ; - ; - ; - ; - ; - ; - ;420.635;421.070;418.322;0.04;0.12;0.18
12/2009; - ; - ; - ; - ; - ; - ; - ; - ; - ;421.051;421.908;419.376;0.28;0.22;0.20
01/2010; - ; - ; - ; - ; - ; - ; - ; - ; - ;423.740;424.094;420.618;0.07;0.40;0.52
02/2010; - ; - ; - ; - ; - ; - ; - ; - ; - ;425.268;425.590;422.943;0.41;0.39;0.35
03/2010; - ; - ; - ; - ; - ; - ; - ; - ; - ;428.476;427.498;424.358;0.45;0.37;0.45
04/2010; - ; - ; - ; - ; - ; - ; - ; - ; - ;432.079;432.491;428.637;1.12;1.25;1.17
05/2010; - ; - ; - ; - ; - ; - ; - ; - ; - ;439.914;436.499;431.939;0.55;0.66;0.93
06/2010; - ; - ; - ; - ; - ; - ; - ; - ; - ;444.718;444.243;440.629;2.18;2.09;1.77
07/2010; - ; - ; - ; - ; - ; - ;116.400;116.000;116.400;446.688;446.992;443.823;0.89;0.72;0.62
08/2010; - ; - ; - ; - ; - ; - ;115.200;112.900;117.200;447.296;447.996;445.391;0.27;0.27;0.22
09/2010; - ; - ; - ; - ; - ; - ;113.000;111.600;114.100;448.222;448.892;445.969;0.08;0.14;0.20
10/2010; - ; - ; - ; - ; - ; - ;112.300;110.200;113.900;449.103;449.587;446.864;0.12;0.15;0.15
11/2010; - ; - ; - ; - ; - ; - ;111.200;109.500;112.700;450.763;451.215;447.948;0.22;0.29;0.36
12/2010; - ; - ; - ; - ; - ; - ;111.400;110.800;111.900;453.766;453.876;450.165;0.28;0.51;0.59
01/2011; - ; - ; - ; - ; - ; - ;110.800;110.300;111.100;455.619;455.562;452.434;0.62;0.38;0.37
02/2011; - ; - ; - ; - ; - ; - ;111.400;111.400;111.300;456.917;457.333;454.338;0.52;0.42;0.39
03/2011; - ; - ; - ; - ; - ; - ;109.600;109.000;110.000;458.887;459.360;455.846;0.23;0.37;0.44
04/2011; - ; - ; - ; - ; - ; - ;111.100;111.500;110.500;463.766;462.793;458.230;0.23;0.50;0.75
05/2011; - ; - ; - ; - ; - ; - ;111.700;113.300;110.000;477.405;472.203;465.430;0.94;1.67;2.03
06/2011; - ; - ; - ; - ; - ; - ;110.100;110.400;109.600;479.183;478.935;475.566;2.97;1.82;1.43
07/2011; - ; - ; - ; - ; - ; - ;109.600;111.000;108.000;481.330;481.768;477.853;0.66;0.63;0.59
08/2011; - ; - ; - ; - ; - ; - ;107.300;107.300;107.100;481.966;482.518;479.345;0.16;0.18;0.16
09/2011; - ; - ; - ; - ; - ; - ;104.000;105.900;102.100;482.658;483.199;479.843;0.10;0.09;0.14
10/2011; - ; - ; - ; - ; - ; - ;104.000;104.700;103.400;483.758;484.185;480.597;0.09;0.12;0.20
11/2011; - ; - ; - ; - ; - ; - ;104.300;103.600;105.100;487.221;486.610;482.463;0.16;0.37;0.50
12/2011; - ; - ; - ; - ; - ; - ;104.200;103.800;104.500;487.749;488.298;485.010;0.71;0.43;0.35
01/2012; - ; - ; - ; - ; - ; - ;104.600;105.800;103.300;492.106;491.549;487.118;0.10;0.60;0.67
02/2012; - ; - ; - ; - ; - ; - ;106.600;106.900;106.100;493.584;493.608;490.313;0.95;0.52;0.42
03/2012; - ; - ; - ; - ; - ; - ;105.400;107.100;103.500;496.079;495.433;491.242;0.33;0.29;0.37
04/2012; - ; - ; - ; - ; - ; - ;104.100;104.600;103.600;499.791;499.548;494.712;0.76;0.82;0.83
05/2012; - ; - ; - ; - ; - ; - ;104.600;104.300;104.900;509.184;506.020;498.981;0.61;0.81;1.30
06/2012; - ; - ; - ; - ; - ; - ;103.800;104.300;103.400;512.903;512.628;507.305;1.99;1.58;1.31
07/2012; - ; - ; - ; - ; - ; - ;103.400;102.900;103.800;516.318;516.963;511.590;0.79;0.91;0.85
08/2012; - ; - ; - ; - ; - ; - ;102.300;103.700;100.900;517.657;518.616;514.120;0.39;0.36;0.32
09/2012; - ; - ; - ; - ; - ; - ;104.100;104.500;103.800;518.816;519.681;515.003;0.16;0.14;0.21
10/2012; - ; - ; - ; - ; - ; - ;102.800;100.700;104.900;519.907;520.940;516.249;0.21;0.21;0.24
11/2012; - ; - ; - ; - ; - ; - ;102.300;102.500;102.100;521.638;522.136;517.364;0.14;0.17;0.23
12/2012; - ; - ; - ; - ; - ; - ;101.600;101.000;102.300;522.474;523.624;519.204;0.36;0.34;0.29
01/2013; - ; - ; - ; - ; - ; - ;100.700;100.700;100.800;525.850;525.651;520.060;0.08;0.19;0.39
02/2013; - ; - ; - ; - ; - ; - ;100.500;99.700;101.300;529.029;529.879;524.437;1.15;0.98;0.80
03/2013; - ; - ; - ; - ; - ; - ;101.200;103.800;98.600;531.691;531.339;526.353;0.27;0.20;0.28
04/2013; - ; - ; - ; - ; - ;80.30;100.600;103.500;97.800;535.601;535.777;529.757;0.67;0.74;0.84
05/2013; - ; - ; - ; - ; - ;79.30;100.400;102.400;98.500;547.655;542.402;533.946;0.66;0.68;1.24
06/2013; - ; - ; - ; - ; - ;80.80;100.300;103.000;97.500;553.948;553.007;547.167;2.40;2.41;1.96
07/2013; - ; - ; - ; - ; - ;80.70;99.000;100.600;97.400;556.600;557.040;551.070;1.01;0.78;0.73
08/2013; - ; - ; - ; - ; - ;82.00;97.200;98.700;96.000;558.340;558.777;552.996;0.33;0.26;0.31
09/2013; - ; - ; - ; - ; - ;82.90;99.400;98.800;100.000;560.767;561.203;554.854;0.33;0.30;0.43
10/2013; - ; - ; - ; - ; - ;81.60;100.400;102.100;98.800;562.241;563.034;557.314;0.35;0.31;0.33
11/2013; - ; - ; - ; - ; - ;81.50;98.900;99.500;98.200;564.201;564.558;559.112;0.15;0.27;0.27
12/2013; - ; - ; - ; - ; - ;79.80;98.300;97.500;99.100;564.765;565.786;560.593;0.36;0.26;0.22
01/2014; - ; - ; - ; - ; - ;79.40;97.800;97.400;98.300;569.720;569.745;562.584;0.06;0.53;0.70
02/2014; - ; - ; - ; - ; - ;81.10;96.700;96.100;97.600;571.577;572.254;566.513;0.54;0.47;0.44
03/2014; - ; - ; - ; - ; - ;80.60;96.300;95.600;97.200;573.156;573.505;568.297;0.21;0.25;0.22
04/2014; - ; - ; - ; - ; - ;80.90;92.600;91.700;93.600;578.224;577.322;570.491;0.35;0.47;0.67
05/2014; - ; - ; - ; - ; - ;81.30;94.600;91.600;97.600;590.099;585.207;576.526;0.92;1.06;1.37
06/2014; - ; - ; - ; - ; - ;78.60;93.100;91.100;95.200;594.013;592.510;586.801;1.91;1.67;1.25
07/2014; - ; - ; - ; - ; - ;79.50;91.600;89.900;93.400;598.441;597.251;590.177;0.33;0.67;0.80
08/2014; - ; - ; - ; - ; - ;80.40;92.000;91.000;93.000;598.898;598.387;592.833;0.44;0.23;0.19
09/2014; - ; - ; - ; - ; - ;79.30;90.500;88.800;92.300;599.823;599.333;593.694;0.12;0.20;0.16
10/2014; - ; - ; - ; - ; - ;78.70;88.000;87.400;88.800;600.865;600.549;594.542;0.09;0.15;0.20
11/2014; - ; - ; - ; - ; - ;78.00;87.500;86.200;89.100;603.524;602.360;595.468;0.16;0.14;0.30
12/2014; - ; - ; - ; - ; - ;78.40;88.500;86.300;91.000;604.026;603.895;597.963;0.41;0.28;0.25
01/2015; - ; - ; - ; - ; - ;76.00;84.500;83.800;85.300;609.568;608.131;600.037;0.08;0.46;0.70
02/2015; - ; - ; - ; - ; - ;75.10;80.500;80.000;81.400;611.447;611.188;604.838;0.67;0.61;0.50
03/2015; - ; - ; - ; - ; - ;73.10;76.700;76.300;77.500;615.248;613.374;606.290;0.20;0.22;0.36
04/2015; - ; - ; - ; - ; - ;71.70;77.100;79.100;75.500;618.060;617.360;610.480;0.69;0.72;0.65
05/2015; - ; - ; - ; - ; - ;70.60;74.700;76.200;73.800;623.951;620.121;612.763;0.27;0.30;0.45
06/2015; - ; - ; - ; - ; - ;70.40;76.700;79.700;74.200;635.403;631.747;621.810;0.90;1.67;1.87
07/2015; - ; - ; - ; - ; - ;69.40;73.000;74.900;71.700;638.880;635.935;629.313;1.52;0.72;0.66
08/2015; - ; - ; - ; - ; - ;68.00;72.800;76.300;70.000;642.644;641.019;634.169;0.94;0.87;0.80
09/2015; - ; - ; - ; - ; - ;66.90;70.500;73.100;68.500;644.046;642.407;636.470;0.09;0.11;0.22
